urn,local_authority,school,postcode,easting,northing,lsoa,type,phase,no2_avg_2013,above_40_2013,no2_avg_2016,above_40_2016
133364,Barnet,Pardes House Primary School,N3 1SA,524942,190464,E01000196,Voluntary aided school,Primary,38.2,No,38.1,No
133365,Barnet,Beis Yaakov Primary School,NW9 6NQ,520792,189548,E01000516,Voluntary aided school,Primary,40.6,Yes,38.8,No
133385,Brent,The School of the Islamic Republic of Iran,NW6 5HE,525204,183057,E01000552,Other independent school,Not applicable,41.0,Yes,41.9,Yes
133386,Haringey,Greig City Academy,N8 7NU,530501,189293,E01033085,Academy sponsor led,Secondary,38.6,No,39.5,No
133401,Greenwich,Waterside School,SE18 7NB,544602,178478,E01001634,Community special school,Not applicable,32.6,No,33.1,No
133405,Redbridge,Oaks Park High School,IG2 7PQ,545026,188695,E01003642,Community school,Secondary,28.6,No,30.8,No
133434,Kensington and Chelsea,Hawkesdown House,W8 7PN,525269,180237,E01002827,Other independent school,Not applicable,46.1,Yes,44.8,Yes
133438,Croydon,Cressey College,CR0 5SP,532920,164876,E01001044,Other independent special school,Not applicable,34.2,No,33.7,No
133439,Hackney,Side By Side School,E5 9HH,534923,187306,E01001828,Other independent special school,Not applicable,33.2,No,35.6,No
133440,Lambeth,The Livity School,SW16 2PW,530540,172499,E01003151,Community special school,Not applicable,37.3,No,37.4,No
133442,Lambeth,The Michael Tippett School,SE24 0HZ,532080,175340,E01003073,Community special school,Not applicable,38.6,No,39.1,No
133443,Richmond upon Thames,Hampton Court House,KT8 9BS,515370,169020,E01003823,Other independent school,Not applicable,28.4,No,29.8,No
133444,Ealing,Ealing Independent College,W5 5AL,517498,180597,E01001387,Other independent school,Not applicable,41.6,Yes,41,Yes
133447,Lewisham,Kings Kids Christian School,SE14 6EU,536339,177564,E01003300,Other independent school,Not applicable,36.3,No,37.8,No
133449,Hackney,Al-Falah Primary School,E5 8BY,534666,186148,E01001764,Other independent school,Not applicable,38.8,No,39.2,No
133486,Hounslow,The William Hogarth Primary School,W4 2JR,521192,178039,E01002689,Community school,Primary,46.6,Yes,43.9,Yes
133489,Westminster,Hospital Home and Education Units co St Mary's Hospitial Tuition Unit,W2 1NY,526781,181380,E01033594,Miscellaneous,Not applicable,51.4,Yes,48.2,Yes
133517,Waltham Forest,Noor Ul Islam Primary School,E10 6QW,538314,186822,E01004373,Other independent school,Not applicable,35.2,No,36.8,No
133528,Croydon,Cambridge Tutors College,CR0 5SX,533004,164863,E01001044,Other independent school,Not applicable,33.4,No,33.2,No
133530,Southwark,The Hospital and Home Tuition Sick Children's Service,SE5 9RS,532605,176102,E01003076,Miscellaneous,Not applicable,47.5,Yes,44.5,Yes
133533,Barnet,Nancy Reuben Primary School,NW4 1DJ,523556,189371,E01000243,Other independent school,Not applicable,36.0,No,37.4,No
133545,Hammersmith and Fulham,William Morris Sixth Form,W6 8RB,523862,178222,E01001889,Community school,16 plus,41.7,Yes,40.8,Yes
133553,Barnet,Torah Vodaas,NW9 7AJ,522505,187549,E01000305,Other independent school,Not applicable,48.2,Yes,44.5,Yes
133561,Barking and Dagenham,Jo Richardson Community School,RM9 4UN,547584,183747,E01000096,Community school,Secondary,33.2,No,33.5,No
133574,Tower Hamlets,Lansbury Lawrence Primary School,E14 6DZ,537693,181255,E01004244,Community school,Primary,37.2,No,39.6,No
133584,Lambeth,Loughborough Primary School,SW9 7UA,531716,176212,E01003046,Community school,Primary,40.0,Yes,40.7,Yes
133599,Hackney,Yesodey Hatorah Senior Girls School,N16 6UB,533959,187840,E01001826,Voluntary aided school,Secondary,37.1,No,38.1,No
133608,Hackney,The Brooke House Sixth Form College,E5 8BP,534805,186280,E01001770,Further education,16 plus,43.8,Yes,42.6,Yes
133620,Barnet,The Northgate School,HA8 0AD,519772,191079,E01000125,Miscellaneous,Not applicable,34.7,No,34.7,No
133646,Tower Hamlets,Al-Mizan School,E1 1JX,534293,181595,E01004325,Other independent school,Not applicable,48.3,Yes,47.8,Yes
133660,Brent,Brent River College,NW9 9AE,520218,189193,E01000520,Pupil referral unit,Not applicable,32.8,No,34,No
133662,Lambeth,Jubilee Primary School,SW2 2JE,531108,174289,E01003179,Community school,Primary,39.1,No,38.6,No
133668,Harrow,Hillview Nursery School,HA2 0LW,514569,186734,E01002132,Local authority nursery school,Nursery,34.3,No,33.9,No
133669,Hackney,St. Dominic's Catholic Primary School,E9 5SR,536148,184781,E01001850,Voluntary aided school,Primary,43.7,Yes,42.2,Yes
133707,Haringey,The Mulberry Primary School,N17 9RB,534039,190372,E01002077,Community school,Primary,36.1,No,36,No
133724,Brent,JFS,HA3 9TE,519199,188305,E01000484,Voluntary aided school,Secondary,31.0,No,32.6,No
133728,Richmond upon Thames,Marshgate Primary School,TW10 6HY,518896,174985,E01003875,Community school,Primary,38.2,No,37.4,No
133749,Barnet,Northgate School,HA8 0AD,519772,191079,E01000125,Pupil referral unit,Not applicable,34.7,No,34.7,No
133754,Merton,The Smart Centre,SM4 6PT,525960,167107,E01003450,Pupil referral unit,Not applicable,32.4,No,32.3,No
133774,Merton,St Thomas of Canterbury Catholic Primary School,CR4 1YG,528132,168862,E01003389,Voluntary aided school,Primary,36.0,No,35.2,No
133810,Bexley,Rose Bruford College,DA15 9DF,546526,173217,E01000460,Higher education institutions,Not applicable,27.8,No,29.4,No
133813,Tower Hamlets,Queen Mary and Westfield College,E1 4NS,536016,182267,E01004261,Higher education institutions,Not applicable,45.8,Yes,43.3,Yes
133814,Newham,University of East London,E16 2RD,543391,180748,E01003481,Higher education institutions,Not applicable,35.7,No,37.2,No
133815,Islington,City University,EC1V 0HB,531738,182693,E01002723,Higher education institutions,Not applicable,47.3,Yes,47.2,Yes
133816,City of London,London Metropolitan University,N7 8DB,531120,185351,E01033491,Higher education institutions,Not applicable,48.8,Yes,46.4,Yes
133825,Kingston upon Thames,Kingston University,KT1 1LQ,517796,168790,E01002968,Higher education institutions,Not applicable,35.6,No,34.6,No
133850,Enfield,Middlesex University,N14 4YZ,529271,197404,E01001417,Higher education institutions,Not applicable,25.2,No,27.8,No
133859,Camden,The Royal Veterinary College,NW1 0TU,529548,183646,E01000958,Higher education institutions,Not applicable,46.0,Yes,45.9,Yes
133860,Westminster,London Business School,NW1 4SA,527645,182454,E01004727,Higher education institutions,Not applicable,50.7,Yes,49.5,Yes
133861,Westminster,Royal Academy of Music,NW1 5HT,528321,182141,E01004716,Higher education institutions,Not applicable,64.7,Yes,54.2,Yes
133862,Camden,Central School of Speech and Drama,NW3 3HY,526706,184406,E01000844,Higher education institutions,Not applicable,56.3,Yes,50.1,Yes
133873,Southwark,London South Bank University,SE1 0AA,531869,179427,E01003932,Higher education institutions,Not applicable,53.4,Yes,48.5,Yes
133874,Lambeth,King's College London,SE1 8WA,531077,180142,E01003016,Higher education institutions,Not applicable,63.2,Yes,57,Yes
133875,Greenwich,Trinity Laban,SE8 3DZ,537590,177455,E01032579,Higher education institutions,Not applicable,37.2,No,37.7,No
133876,Greenwich,University of Greenwich,SE10 9LS,538695,178060,E01001668,Higher education institutions,Not applicable,35.3,No,37.2,No
133877,Lewisham,"Goldsmiths College, University of London",SE14 6NW,536540,176850,E01003215,Higher education institutions,Not applicable,47.1,Yes,43.3,Yes
133884,Wandsworth,Roehampton University,SW15 5PJ,522005,174361,E01004568,Higher education institutions,Not applicable,35.8,No,35.7,No
133885,Wandsworth,St George's Hospital Medical School,SW17 0RE,526995,171396,E01004617,Higher education institutions,Not applicable,34.4,No,34.5,No
133887,Kensington and Chelsea,"Imperial College of Science, Technology and Medicine",SW7 2AZ,526549,179525,E01004688,Higher education institutions,Not applicable,52.1,Yes,48.9,Yes
